Date/Time,Electricity:Facility [J](TimeStep),ElectricityNet:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 12/21  00:10:00,1563042.4054920779,1563042.4054920779,6006965.840386419 
 12/21  00:20:00,1978377.8959115893,1978377.8959115896,7169179.808702018 
 12/21  00:30:00,1978377.8959115893,1978377.8959115896,5548731.913779689 
 12/21  00:40:00,868949.4,868949.4,0.0 
 12/21  00:50:00,1929813.2336877513,1929813.2336877513,6941715.761789468 
 12/21  01:00:00,1978377.8959115893,1978377.8959115896,3771146.1333372418 
 12/21  01:10:00,1978377.8959115893,1978377.8959115896,6988685.875202275 
 12/21  01:20:00,868949.4,868949.4,0.0 
 12/21  01:30:00,1929813.2336877513,1929813.2336877513,7028916.763392618 
 12/21  01:40:00,1978377.8959115893,1978377.8959115896,3829983.925479273 
 12/21  01:50:00,1978377.8959115893,1978377.8959115896,7047292.335795481 
 12/21  02:00:00,868949.4,868949.4,0.0 
 12/21  02:10:00,1929813.2336877513,1929813.2336877513,7074940.059652982 
 12/21  02:20:00,1978377.8959115893,1978377.8959115896,3860062.357885152 
 12/21  02:30:00,1978377.8959115893,1978377.8959115896,7078499.090122186 
 12/21  02:40:00,868949.4,868949.4,0.0 
 12/21  02:50:00,1929813.2336877513,1929813.2336877513,7098694.115335423 
 12/21  03:00:00,1978377.8959115893,1978377.8959115896,3876359.981763671 
 12/21  03:10:00,1978377.8959115893,1978377.8959115896,7095410.446630435 
 12/21  03:20:00,868949.4,868949.4,0.0 
 12/21  03:30:00,1929813.2336877513,1929813.2336877513,7111120.121602247 
 12/21  03:40:00,1978377.8959115893,1978377.8959115896,3885518.9052268739 
 12/21  03:50:00,1978377.8959115893,1978377.8959115896,7104781.127364108 
 12/21  04:00:00,868949.4,868949.4,0.0 
 12/21  04:10:00,1929813.2336877513,1929813.2336877513,7117696.078912198 
 12/21  04:20:00,1978377.8959115893,1978377.8959115896,3890931.446191789 
 12/21  04:30:00,1978377.8959115893,1978377.8959115896,7110125.537248371 
 12/21  04:40:00,868949.4,868949.4,0.0 
 12/21  04:50:00,1929813.2336877513,1929813.2336877513,7121203.059677467 
 12/21  05:00:00,1978377.8959115893,1978377.8959115896,3894336.1914022855 
 12/21  05:10:00,1978377.8959115893,1978377.8959115896,7113274.3966990089 
 12/21  05:20:00,868949.4,868949.4,0.0 
 12/21  05:30:00,1929813.2336877513,1929813.2336877513,7123066.390076855 
 12/21  05:40:00,1978377.8959115893,1978377.8959115896,3896628.042992333 
 12/21  05:50:00,1978377.8959115893,1978377.8959115896,7115183.927018074 
 12/21  06:00:00,868949.4,868949.4,0.0 
 12/21  06:10:00,2115429.8336877517,2115429.833687751,7124021.991008859 
 12/21  06:20:00,2163994.4959115895,2163994.4959115895,3898270.917839298 
 12/21  06:30:00,2163994.4959115895,2163994.4959115895,7116356.768467533 
 12/21  06:40:00,1054566.0,1054566.0,0.0 
 12/21  06:50:00,2115429.8336877517,2115429.833687751,7124452.90841737 
 12/21  07:00:00,2163994.4959115895,2163994.4959115895,3899508.3357890455 
 12/21  07:10:00,2163994.495921969,2163994.495921969,6585195.03342564 
 12/21  07:20:00,1054566.0000103797,1054566.0000103797,0.0 
 12/21  07:30:00,2115429.833698131,2115429.833698131,6203151.278840482 
 12/21  07:40:00,2163994.495921969,2163994.495921969,3416731.6390445467 
 12/21  07:50:00,2163994.495921969,2163994.495921969,6610855.964693043 
 12/21  08:00:00,492600.0000103795,492600.00001037956,0.0 
 12/21  08:10:00,1553463.8336981307,1553463.8336981312,6190741.43167286 
 12/21  08:20:00,1602028.495921969,1602028.495921969,3418003.865047037 
 12/21  08:30:00,1602028.495921969,1602028.495921969,6612174.247640546 
 12/21  08:40:00,492600.0000103795,492600.00001037956,0.0 
 12/21  08:50:00,1553463.8336981307,1553463.8336981312,6192377.928323248 
 12/21  09:00:00,1602028.495921969,1602028.495921969,3410788.91284414 
 12/21  09:10:00,1602028.495921969,1602028.495921969,6610961.530182964 
 12/21  09:20:00,492600.0000103795,492600.00001037956,0.0 
 12/21  09:30:00,1553463.8336981307,1553463.8336981312,6192751.859758798 
 12/21  09:40:00,1602028.495921969,1602028.495921969,3410838.946754568 
 12/21  09:50:00,1602028.495921969,1602028.495921969,6613564.460774869 
 12/21  10:00:00,492600.0000103795,492600.00001037956,0.0 
 12/21  10:10:00,1553463.8336981307,1553463.8336981312,6192492.500520847 
 12/21  10:20:00,1602028.495921969,1602028.495921969,3410456.2382024799 
 12/21  10:30:00,1602028.495921969,1602028.495921969,6614021.970071927 
 12/21  10:40:00,492600.0000103795,492600.00001037956,0.0 
 12/21  10:50:00,1553463.8336981307,1553463.8336981312,6192862.396260282 
 12/21  11:00:00,1602028.495921969,1602028.495921969,3410468.053445382 
 12/21  11:10:00,1602028.495921969,1602028.495921969,6614826.071376996 
 12/21  11:20:00,492600.0000103795,492600.00001037956,0.0 
 12/21  11:30:00,1553463.8336981307,1553463.8336981312,6198187.548850729 
 12/21  11:40:00,1602028.495921969,1602028.495921969,3413510.2311458007 
 12/21  11:50:00,1602028.495921969,1602028.495921969,6622478.812926114 
 12/21  12:00:00,492600.0000103795,492600.00001037956,0.0 
 12/21  12:10:00,1553463.8336981307,1553463.8336981312,6199708.8035292369 
 12/21  12:20:00,1602028.495921969,1602028.495921969,3419459.6959439499 
 12/21  12:30:00,1602028.495921969,1602028.495921969,6629734.145616433 
 12/21  12:40:00,492600.0000103795,492600.00001037956,0.0 
 12/21  12:50:00,1553463.8336981307,1553463.8336981312,6205907.591013946 
 12/21  13:00:00,1602028.495921969,1602028.495921969,3417738.4021459815 
 12/21  13:10:00,1602028.495921969,1602028.495921969,6633106.084535537 
 12/21  13:20:00,492600.0000103795,492600.00001037956,0.0 
 12/21  13:30:00,1553463.8336981307,1553463.8336981312,6205604.651622363 
 12/21  13:40:00,1602028.495921969,1602028.495921969,3417285.1800938339 
 12/21  13:50:00,1602028.495921969,1602028.495921969,6632238.4986011 
 12/21  14:00:00,492600.0000103795,492600.00001037956,0.0 
 12/21  14:10:00,1553463.8336981307,1553463.8336981312,6207009.779501446 
 12/21  14:20:00,1602028.495921969,1602028.495921969,3407421.9276982706 
 12/21  14:30:00,1602028.495921969,1602028.495921969,6623372.092191296 
 12/21  14:40:00,492600.0000103795,492600.00001037956,0.0 
 12/21  14:50:00,1553463.8336981307,1553463.8336981312,6198966.28746583 
 12/21  15:00:00,1602028.495921969,1602028.495921969,3412898.014841011 
 12/21  15:10:00,1602028.495921969,1602028.495921969,6622068.30583209 
 12/21  15:20:00,492600.0000103795,492600.00001037956,0.0 
 12/21  15:30:00,1553463.8336981307,1553463.8336981312,6199146.305673724 
 12/21  15:40:00,1602028.495921969,1602028.495921969,3412958.0677716017 
 12/21  15:50:00,1602028.495921969,1602028.495921969,6622302.442374893 
 12/21  16:00:00,492600.0000103795,492600.00001037956,0.0 
 12/21  16:10:00,1553463.8336981307,1553463.8336981312,6199450.732711925 
 12/21  16:20:00,1602028.495921969,1602028.495921969,3418340.183078268 
 12/21  16:30:00,1602028.495921969,1602028.495921969,6627975.080538936 
 12/21  16:40:00,492600.0000103795,492600.00001037956,0.0 
 12/21  16:50:00,1553463.8336981307,1553463.8336981312,6204474.091512496 
 12/21  17:00:00,2163994.495921969,2163994.495921969,3416051.166847131 
 12/21  17:10:00,2163994.495921969,2163994.495921969,6629834.015114078 
 12/21  17:20:00,1054566.0000103797,1054566.0000103797,0.0 
 12/21  17:30:00,2115429.833698131,2115429.833698131,6196200.78145347 
 12/21  17:40:00,2163994.495921969,2163994.495921969,3410916.5120279809 
 12/21  17:50:00,2163994.495921969,2163994.495921969,6617701.327661728 
 12/21  18:00:00,1054566.0000103797,1054566.0000103797,0.0 
 12/21  18:10:00,2115429.833698131,2115429.833698131,6709647.603233368 
 12/21  18:20:00,2163994.495921969,2163994.495921969,3989920.584697092 
 12/21  18:30:00,2163994.495921969,2163994.495921969,7125423.726958313 
 12/21  18:40:00,1054566.0000103797,1054566.0000103797,0.0 
 12/21  18:50:00,2115429.833698131,2115429.833698131,7125347.142411817 
 12/21  19:00:00,2163994.495921969,2163994.495921969,3898587.8208880147 
 12/21  19:10:00,2163994.495921969,2163994.495921969,7133410.302935226 
 12/21  19:20:00,1054566.0000103797,1054566.0000103797,0.0 
 12/21  19:30:00,2115429.833698131,2115429.833698131,7132795.396489956 
 12/21  19:40:00,2163994.495921969,2163994.495921969,3903817.7835702279 
 12/21  19:50:00,2163994.495921969,2163994.495921969,7134844.8347866409 
 12/21  20:00:00,1054566.0000103797,1054566.0000103797,0.0 
 12/21  20:10:00,2115429.833698131,2115429.833698131,7138617.8753836839 
 12/21  20:20:00,2163994.495921969,2163994.495921969,3910821.127410167 
 12/21  20:30:00,2163994.495921969,2163994.495921969,7141636.527791985 
 12/21  20:40:00,1054566.0000103797,1054566.0000103797,0.0 
 12/21  20:50:00,2115429.833698131,2115429.833698131,7143975.295132369 
 12/21  21:00:00,2163994.495921969,2163994.495921969,3912209.1590268055 
 12/21  21:10:00,2163994.495921969,2163994.495921969,7144705.186063349 
 12/21  21:20:00,1054566.0000103797,1054566.0000103797,0.0 
 12/21  21:30:00,2115429.833698131,2115429.833698131,7141081.270213626 
 12/21  21:40:00,2163994.495921969,2163994.495921969,3911178.234677775 
 12/21  21:50:00,2163994.495921969,2163994.495921969,7139761.452461432 
 12/21  22:00:00,1054566.0000103797,1054566.0000103797,0.0 
 12/21  22:10:00,2115429.8336877517,2115429.833687751,7141397.634160224 
 12/21  22:20:00,2163994.4959115895,2163994.4959115895,3909423.7728065776 
 12/21  22:30:00,2163994.4959115895,2163994.4959115895,7137361.814183249 
 12/21  22:40:00,1054566.0,1054566.0,0.0 
 12/21  22:50:00,2115429.8336877517,2115429.833687751,7138876.400868535 
 12/21  23:00:00,2163994.4959115895,2163994.4959115895,3911181.938693181 
 12/21  23:10:00,2163994.4959115895,2163994.4959115895,7136542.111871359 
 12/21  23:20:00,1054566.0,1054566.0,0.0 
 12/21  23:30:00,2115429.8336877517,2115429.833687751,7138255.603737103 
 12/21  23:40:00,2163994.4959115895,2163994.4959115895,3911403.735024251 
 12/21  23:50:00,2163994.4959115895,2163994.4959115895,7135900.341159794 
 12/21  24:00:00,1054566.0,1054566.0,0.0 
 07/21  00:10:00,6460486.882786699,6460486.8827867,0.0 
 07/21  00:20:00,7022920.07731745,7022920.07731745,0.0 
 07/21  00:30:00,6440407.570635546,6440407.570635547,0.0 
 07/21  00:40:00,4945198.7832,4945198.7832,0.0 
 07/21  00:50:00,7154684.230087987,7154684.230087986,0.0 
 07/21  01:00:00,6029759.552073794,6029759.552073794,0.0 
 07/21  01:10:00,6880317.47778015,6880317.477780149,0.0 
 07/21  01:20:00,4945198.7832,4945198.7832,0.0 
 07/21  01:30:00,7110927.177354471,7110927.177354471,0.0 
 07/21  01:40:00,5995219.592789002,5995219.592789001,0.0 
 07/21  01:50:00,6835486.918515673,6835486.918515673,0.0 
 07/21  02:00:00,4945198.7832,4945198.7832,0.0 
 07/21  02:10:00,7073636.988498955,7073636.988498953,0.0 
 07/21  02:20:00,5963759.013803318,5963759.013803316,0.0 
 07/21  02:30:00,6795126.281536827,6795126.281536828,0.0 
 07/21  02:40:00,4945198.7832,4945198.7832,0.0 
 07/21  02:50:00,7044963.337622088,7044963.337622089,0.0 
 07/21  03:00:00,5937779.961427067,5937779.961427067,0.0 
 07/21  03:10:00,6763333.170176916,6763333.170176917,0.0 
 07/21  03:20:00,4945198.7832,4945198.7832,0.0 
 07/21  03:30:00,7020113.653779298,7020113.653779299,0.0 
 07/21  03:40:00,5914231.679064898,5914231.679064898,0.0 
 07/21  03:50:00,6733707.132664735,6733707.132664735,0.0 
 07/21  04:00:00,4945198.7832,4945198.7832,0.0 
 07/21  04:10:00,6996822.892317889,6996822.892317889,0.0 
 07/21  04:20:00,5894223.643674712,5894223.643674711,0.0 
 07/21  04:30:00,6707178.076468989,6707178.076468989,0.0 
 07/21  04:40:00,4945198.7832,4945198.7832,0.0 
 07/21  04:50:00,6976807.388898815,6976807.388898812,0.0 
 07/21  05:00:00,5876939.800702251,5876939.80070225,0.0 
 07/21  05:10:00,6684981.273236479,6684981.273236481,0.0 
 07/21  05:20:00,4561133.08229466,4561133.08229466,0.0 
