Date/Time,Electricity:Facility [J](TimeStep),ElectricityNet:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 12/21  00:10:00,1593655.8160927315,1593655.8160927315,5975153.861359676 
 12/21  00:20:00,2026673.4733502048,2026673.4733502046,7115301.71777417 
 12/21  00:30:00,2026673.4733502048,2026673.4733502046,5494774.010386572 
 12/21  00:40:00,868949.4,868949.4,0.0 
 12/21  00:50:00,1974501.5648479947,1974501.5648479944,6899731.032461471 
 12/21  01:00:00,2026673.4733502048,2026673.4733502046,3713490.4093562497 
 12/21  01:10:00,2026673.4733502048,2026673.4733502046,6927101.9766626 
 12/21  01:20:00,868949.4,868949.4,0.0 
 12/21  01:30:00,1974501.5648479947,1974501.5648479944,6986839.124196233 
 12/21  01:40:00,2026673.4733502048,2026673.4733502046,3772401.7757884056 
 12/21  01:50:00,2026673.4733502048,2026673.4733502046,6985654.974915657 
 12/21  02:00:00,868949.4,868949.4,0.0 
 12/21  02:10:00,1974501.5648479947,1974501.5648479944,7032899.71178604 
 12/21  02:20:00,2026673.4733502048,2026673.4733502046,3802496.2742351179 
 12/21  02:30:00,2026673.4733502048,2026673.4733502046,7016828.336413027 
 12/21  02:40:00,868949.4,868949.4,0.0 
 12/21  02:50:00,1974501.5648479947,1974501.5648479944,7056673.96886813 
 12/21  03:00:00,2026673.4733502048,2026673.4733502046,3818802.0548364978 
 12/21  03:10:00,2026673.4733502048,2026673.4733502046,7033721.724081658 
 12/21  03:20:00,868949.4,868949.4,0.0 
 12/21  03:30:00,1974501.5648479947,1974501.5648479944,7069111.217427635 
 12/21  03:40:00,2026673.4733502048,2026673.4733502046,3827964.743919324 
 12/21  03:50:00,2026673.4733502048,2026673.4733502046,7043082.583712066 
 12/21  04:00:00,868949.4,868949.4,0.0 
 12/21  04:10:00,1974501.5648479947,1974501.5648479944,7075693.67595202 
 12/21  04:20:00,2026673.4733502048,2026673.4733502046,3833378.6028984675 
 12/21  04:30:00,2026673.4733502048,2026673.4733502046,7048421.517375935 
 12/21  04:40:00,868949.4,868949.4,0.0 
 12/21  04:50:00,1974501.5648479947,1974501.5648479944,7079204.60846081 
 12/21  05:00:00,2026673.4733502048,2026673.4733502046,3836783.290741093 
 12/21  05:10:00,2026673.4733502048,2026673.4733502046,7051567.252317937 
